Tipo esercizio storico pubblico esercizio;Insegna;Indirizzo;Tipo via;Nome via;Civico;Codice via;ZD;Forma commercio;Forma commercio precedente;Forma vendita;Settore storico pubblico esercizio;Superficie somministrazione;Tipo_macro;Forma vendita_filled;is_outlier_superficie
trattoria;unknown;"vle monza n. 142 ; isolato:173; accesso: accesso esterno; (z.d. 2)";vle;monza;142;2274;2;solo somministrazione;somministrazione;misto;"ristorante, trattoria, osteria;trattoria;pizzerie e simili;bar caffè";100.0;RISTORANTE;misto;False
trattoria;unknown;"vle monza n. 154 ; isolato:147; accesso: accesso esterno; (z.d. 2)";vle;monza;154;2274;2;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;pizzeria;trattoria;pizzerie e simili;genere merceol.autorizz.sanit.";116.0;RISTORANTE;al tavolo;False
trattoria;unknown;"vle premuda n. 17 ; isolato:009; accesso: accesso esterno; (z.d. 1)";vle;premuda;17;3063;1;solo somministrazione;somministrazione;al tavolo;"trattoria;bar caffè";100.0;RISTORANTE;al tavolo;False
trattoria;unknown;"vle sabotino n. 38 ; isolato:191; accesso: accesso esterno; (z.d. 5)";vle;sabotino;38;4046;5;solo somministrazione;somministrazione;misto;"bar caffè e simili;genere merceol.autorizz.sanit.;ristorante;bar caffè;ristorante, trattoria, osteria;pizzeria";36.0;RISTORANTE;misto;False
trattoria;unknown;"vle sabotino n. 4 ; isolato:171; accesso: accesso esterno; (z.d. 5)";vle;sabotino;4;4046;5;solo somministrazione;somministrazione;al banco;"bar caffè;pizzeria";60.0;PIZZERIA;al banco;False
trattoria;unknown;"vle sarca n. 187 ; isolato:048; accesso: accesso esterno; (z.d. 9)";vle;sarca;187;1427;9;somministrazione/minuto;somministrazione;al banco;"bar caffè;elettr.automatici meccaniche;cibi cotti";48.0;BAR;al banco;False
trattoria;unknown;"vle sarca n. 198 ; isolato:051; accesso: accesso esterno; (z.d. 9)";vle;sarca;198;1427;9;solo somministrazione;somministrazione;al tavolo;"trattoria;bar caffè e simili;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.";160.0;RISTORANTE;al tavolo;False
trattoria;unknown;"vle umbria n. 18 ; isolato:179; accesso: accesso esterno; (z.d. 4)";vle;umbria;18;3145;4;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;trattoria;pizzerie e simili";96.0;RISTORANTE;al tavolo;False
trattoria;unknown;"vle umbria n. 5 ; isolato:178; accesso: accesso esterno; (z.d. 4)";vle;umbria;5;3145;4;solo somministrazione;somministrazione;misto;"tav.calde,self service,fast f.;bar caffè e simili;genere merceol.autorizz.sanit.;cibi cotti;trattoria";54.0;RISTORANTE;misto;False
trattoria;unknown;"vlo mapelli n. 2 ; isolato:151; accesso: accesso esterno; (z.d. 8)";vlo;mapelli;2;7449;8;solo somministrazione;somministrazione;al banco;"bigliardino elettrico;trattoria;calcio da tavolo;bocce;gioco video;carte;biliardo;bar caffè";87.0;RISTORANTE;al banco;False
trattoria;ai colli fiorentini trat;"via pisacane carlo n. 40 ; isolato:148; accesso: accesso esterno; (z.d. 3)";via;pisacane carlo;40;2188;3;solo somministrazione;somministrazione;al tavolo;"bar caffè;ristorante, trattoria, osteria;bar caffè e simili;trattoria";200.0;RISTORANTE;al tavolo;False
trattoria;aladino cucina siriana li;"vle abruzzi n. 19 ; isolato:067; accesso: accesso esterno; (z.d. 3)";vle;abruzzi;19;2177;3;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;trattoria";46.0;RISTORANTE;al tavolo;False
trattoria;al bocconcino;vle jenner edoardo n. 14 (z.d. 9);vle;jenner edoardo;14;1230;9;solo somministrazione;somministrazione;al tavolo;"pizzeria;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;trattoria";75.0;RISTORANTE;al tavolo;False
trattoria;al caffe  di fauche;"via castelvetro lodovico n. 22 ; isolato:033; accesso: accesso esterno; (z.d. 8)";via;castelvetro lodovico;22;7195;8;solo somministrazione;somministrazione;al banco;"lett. giochi leciti + societa';trattoria;bar caffè;ristorante, trattoria, osteria;elettr.automatici meccaniche;genere merceol.autorizz.sanit.;bar caffè e simili";58.0;RISTORANTE;al banco;False
trattoria;al covo;"vle bligny n. 60 ; isolato:108; accesso: accesso esterno; (z.d. 5)";vle;bligny;60;4045;5;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;trattoria";88.0;RISTORANTE;al tavolo;False
trattoria;al faro 64;"via novara n. 64 ; isolato:129; accesso: accesso esterno; (z.d. 7)";via;novara;64;6624;7;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;pizzeria;pizzerie e simili;bar caffè;trattoria";77.0;RISTORANTE;al tavolo;False
trattoria;al forchettone;"via spontini gaspare n. 11 ; isolato:027; accesso: accesso esterno; (z.d. 3)";via;spontini gaspare;11;2141;3;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;pizzerie e simili;pizzeria;trattoria";80.0;RISTORANTE;al banco;False
trattoria;alistair s vini e cucina;"via castaldi panfilo n. 38 ; isolato:138; accesso: accesso esterno; (z.d. 3)";via;castaldi panfilo;38;2119;3;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;trattoria";74.0;RISTORANTE;al tavolo;False
trattoria;alla cucina economica;"via guicciardini francesco n. 8 ; isolato:002; accesso: accesso esterno; (z.d. 9)";via;guicciardini francesco;8;3084;4;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;ristorante;ristorante, trattoria, osteria";58.0;RISTORANTE;al tavolo;False
trattoria;al mercante in fiera;"via ferrucci francesco n. 11 ; isolato:087; accesso: accesso esterno; (z.d. 8)";via;ferrucci francesco;11;7150;8;solo somministrazione;somministrazione;al tavolo;"bar caffè;genere merceol.autorizz.sanit.;trattoria;ristorante, trattoria, osteria;bar gastronomici e simili;seconda bottiglia;pizzerie e simili";60.0;RISTORANTE;al tavolo;False
trattoria;al pozzo;"via fiori chiari n. 21 con ingr. in via s.carpoforo 7;via san carpoforo 007; isolato:301; accesso: accesso esterno; (z.d. 1)";via;fiori chiari;21;135;1;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;bar caffè e simili;bar caffè;trattoria";130.0;RISTORANTE;misto;False
trattoria;al pulentin musica e vin;"via de sanctis francesco n. 1 ; isolato:021; accesso: accesso esterno; (z.d. 5)";via;de sanctis francesco;1;5322;5;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;bar caffè;trattoria;wine,birr.,pub enot.,caff.,the;cucina tipica lombarda";118.0;RISTORANTE;misto;False
trattoria;amici miei;"vle bligny n. 42 ; isolato:103; accesso: accesso esterno; (z.d. 5)";vle;bligny;42;4045;5;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;trattoria";64.0;RISTORANTE;al tavolo;False
trattoria;antica osteria via gluck;"via gluck cristoforo n. 10 ; isolato:152; accesso: accesso esterno; (z.d. 2)";via;gluck cristoforo;10;1215;2;solo somministrazione;somministrazione;al tavolo;"trattoria;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.";130.0;RISTORANTE;al tavolo;False
trattoria;antica trattoria bagutto;"via vittorini elio n. 4 ; isolato:123; accesso: accesso esterno; (z.d. 4)";via;vittorini elio;4;3379;4;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;trattoria;bar caffè";112.0;RISTORANTE;al tavolo;False
trattoria;antica trattoria lampugna;"via trenno n. 22 ; isolato:134; accesso: accesso esterno; (z.d. 8)";via;trenno;22;6491;8;solo somministrazione;somministrazione;al tavolo;"bar caffè e simili;trattoria;cucina tipica lombarda;ristorante, trattoria, osteria";119.0;RISTORANTE;al tavolo;False
trattoria;arcobaleno ristor.pizzeri;"via savona n. 59 ; isolato:031; accesso: accesso esterno; (z.d. 6)";via;savona;59;5122;6;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;pizzeria;pizzerie e simili;trattoria;ristorante, trattoria, osteria";72.0;RISTORANTE;al tavolo;False
trattoria;a riccione;"via taramelli torquato n. 70 ; isolato:179; accesso: accesso esterno; (z.d. 2)";via;taramelli torquato;70;1164;2;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;trattoria";162.0;RISTORANTE;al tavolo;False
trattoria;a santa lucia;"via san pietro all'orto n. 3 ;via san pietro all'orto 003; isolato:361; accesso: accesso esterno; (z.d. 1)";via;san pietro all'orto;3;213;1;solo somministrazione;somministrazione;al tavolo;"pizzerie e simili;bar caffè e simili;giochi legge 388/2000;pizzeria;trattoria;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;bar caffè";121.0;RISTORANTE;al tavolo;False
trattoria;autogrill;"via meravigli n. 2 con ingresso in via dante;via dante alighieri 000; isolato:407; accesso: accesso esterno; (z.d. 1)";via;meravigli;2;614;1;solo somministrazione;somministrazione;self service;"pizzeria;bar gastronomici e simili;genere merceol.autorizz.sanit.;ristorante;bar caffè;tav.calde,self service,fast f.";172.0;RISTORANTE;self service;False
trattoria;baia chia;"via bazzini antonio n. 37 ; isolato:047; accesso: accesso esterno; (z.d. 3)";via;bazzini antonio;37;2427;3;solo somministrazione;somministrazione;al tavolo;"trattoria;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.";63.0;RISTORANTE;al tavolo;False
trattoria;barabba;"via belfiore n. 15 ; isolato:215; accesso: accesso esterno; (z.d. 7)";via;belfiore;15;6246;7;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;ristorante;ristorante, trattoria, osteria;pizzerie e simili;bar caffè";61.0;RISTORANTE;al banco;False
trattoria;bar biffino;"via andegari n. 15 ;via manzoni alessandro 017; isolato:313; accesso: accesso esterno; (z.d. 1)";via;andegari;15;120;1;solo somministrazione;somministrazione;misto;"trattoria;bar caffè e simili;genere merceol.autorizz.sanit.;bar caffè;ristorante, trattoria, osteria";87.0;RISTORANTE;misto;False
trattoria;bar brio;"via archimede n. 46 ; isolato:029; accesso: accesso esterno; (z.d. 4)";via;archimede;46;3086;4;solo somministrazione;somministrazione;misto;"bar caffè;genere merceol.autorizz.sanit.;trattoria;giochi legge 388/2000";35.0;RISTORANTE;misto;False
trattoria;bar cerveceria;"via palazzi lazzaro n. 7 ; isolato:130; accesso: accesso esterno; (z.d. 3)";via;palazzi lazzaro;7;2171;3;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;bar caffè;trattoria";112.0;RISTORANTE;misto;False
trattoria;bar dassarre cucineria;"via archimede n. 5 ; isolato:014; accesso: accesso esterno; (z.d. 4)";via;archimede;5;3086;4;solo somministrazione;somministrazione;misto;"bar caffè e simili;ristorante, trattoria, osteria;wine,birr.,pub enot.,caff.,the";64.0;RISTORANTE;misto;False
trattoria;bar dinasty;"ple nigra costantino n. 4 ; isolato:081; accesso: accesso esterno; (z.d. 9)";ple;nigra costantino;4;1236;9;solo somministrazione;somministrazione;al banco;"bar caffè;tav.calde,self service,fast f.;trattoria;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.";84.0;RISTORANTE;al banco;False
trattoria;bar ristorante;"via guerzoni giuseppe n. 11 ; isolato:085; accesso: accesso esterno; (z.d. 9)";via;guerzoni giuseppe;11;1286;9;solo somministrazione;somministrazione;al banco;ristorante, trattoria, osteria;102.0;RISTORANTE;al banco;False
trattoria;bar ristorante izumi;"via ponte seveso n. 30 ; isolato:202; accesso: accesso esterno; (z.d. 2)";via;ponte seveso;30;1203;2;solo somministrazione;somministrazione;al tavolo;"pizzeria;genere merceol.autorizz.sanit.;pizzerie e simili;trattoria;ristorante, trattoria, osteria";151.0;RISTORANTE;al tavolo;False
trattoria;bar ristorante mako;"ple lagosta n. 1 ; isolato:275; accesso: accesso esterno; (z.d. 9)";ple;lagosta;1;1155;9;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;trattoria;tav.calde,self service,fast f.;bar caffè";74.0;RISTORANTE;al banco;False
trattoria;bar tabacchi;"via degli olivetani n. 21 ; isolato:063; accesso: accesso esterno; (z.d. 1)";via;degli olivetani;21;6220;1;somministrazione/minuto;somministrazione;al banco;"trattoria;giochi legge 388/2000;bar caffè";85.0;RISTORANTE;al banco;False
trattoria;bar tratt. da roberto;"via marco aurelio n. 5 ; isolato:333; accesso: accesso esterno; (z.d. 2)";via;marco aurelio;5;2298;2;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;trattoria;bar caffè";49.0;RISTORANTE;misto;False
trattoria;bar trattoria;"pza garibaldi anita n. 3 ; isolato:129; accesso: accesso esterno; (z.d. 7)";pza;garibaldi anita;3;6786;7;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;bar caffè;bar caffè e simili;trattoria";67.0;RISTORANTE;misto;False
trattoria;bar trattoria;"pza pasolini giuseppe n. 2 ; isolato:157; accesso: accesso esterno; (z.d. 9)";pza;pasolini giuseppe;2;1327;9;somministrazione/minuto;somministrazione;misto;"trattoria;wine,birr.,pub enot.,caff.,the;genere merceol.autorizz.sanit.;bar caffè";70.0;RISTORANTE;misto;False
trattoria;bar trattoria;"via comune antico n. 27 ; isolato:172; accesso: accesso esterno; (z.d. 2)";via;comune antico;27;1420;2;solo somministrazione;somministrazione;misto;"bar caffè e simili;trattoria;genere merceol.autorizz.sanit.;bar caffè;ristorante, trattoria, osteria";130.0;RISTORANTE;misto;False
trattoria;bar trattoria;"via imbonati carlo n. 11 ; isolato:088; accesso: accesso interno; (z.d. 9)";via;imbonati carlo;11;1311;9;solo somministrazione;somministrazione;misto;"ristorante, trattoria, osteria;bar caffè e simili;bar caffè;trattoria;genere merceol.autorizz.sanit.;giochi legge 388/2000";88.0;RISTORANTE;misto;False
trattoria;bar trattoria;"via monte san genesio n. 2 ; isolato:069; accesso: accesso esterno; (z.d. 9)";via;monte san genesio;2;1299;9;solo somministrazione;somministrazione;misto;"lett. giochi leciti + societa';ristorante, trattoria, osteria;pizzerie e simili;bar caffè e simili;elettr.automatici meccaniche";85.0;RISTORANTE;misto;False
trattoria;bar trattoria;"via ornato luigi n. 122 ; isolato:011; accesso: accesso esterno; (z.d. 9)";via;ornato luigi;122;1591;9;solo somministrazione;somministrazione;misto;"trattoria;bar caffè e simili;ristorante, trattoria, osteria;bar caffè;genere merceol.autorizz.sanit.;tavola fredda";148.0;RISTORANTE;misto;False
trattoria;bar trattoria;"via sand george n. 17 ; isolato:066; accesso: accesso esterno; (z.d. 9)";via;sand george;17;1554;9;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;bar caffè e simili;tavola fredda;ristorante, trattoria, osteria;bar caffè;tavola calda";36.0;RISTORANTE;misto;False
trattoria;bar trattoria;"via toffetti vincenzo n. 18 ; isolato:034; accesso: accesso esterno; (z.d. 4)";via;toffetti vincenzo;18;4188;4;solo somministrazione;somministrazione;al tavolo;"bar caffè;ristorante, trattoria, osteria;bar caffè e simili;trattoria;genere merceol.autorizz.sanit.";97.0;RISTORANTE;al tavolo;False
trattoria;bar trattoria al 395;"via delle forze armate n. 395 ; isolato:145; accesso: accesso esterno; (z.d. 7)";via;delle forze armate;395;6643;7;somministrazione/minuto;somministrazione;al tavolo;"bar caffè;licenza giochi leciti/elettr..;trattoria";169.0;RISTORANTE;al tavolo;False
trattoria;bar trattoria bocciofila;"via decembrio pier candido n. 33 ; isolato:180; accesso: accesso esterno; (z.d. 4)";via;decembrio pier candido;33;4099;4;solo somministrazione;somministrazione;misto;"bar caffè e simili;trattoria;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;bar caffè";78.0;RISTORANTE;misto;False
trattoria;bar trattoria buteghin;"via vittorini elio n. 40 ; isolato:128; accesso: accesso esterno; (z.d. 4)";via;vittorini elio;40;3379;4;solo somministrazione;somministrazione;al tavolo;"bar caffè;trattoria;genere merceol.autorizz.sanit.;bar caffè e simili;ristorante, trattoria, osteria";75.0;RISTORANTE;al tavolo;False
trattoria;bar trattoria commercio;"vle delle rimembranze di lambrate n. 7 ; isolato:113; accesso: accesso esterno; (z.d. 3)";vle;delle rimembranze di lambrate;7;2664;3;solo somministrazione;somministrazione;misto;"bar caffè;trattoria;ristorante, trattoria, osteria;bar caffè e simili";83.0;RISTORANTE;misto;False
trattoria;bar trattoria da ave;"via candiani giuseppe n. 131 ; isolato:028; accesso: accesso esterno; (z.d. 9)";via;candiani giuseppe;131;1242;9;solo somministrazione;somministrazione;misto;"ristorante;bar caffè e simili;genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;bar caffè;giochi legge 388/2000";108.0;RISTORANTE;misto;False
trattoria;bar trattoria espinasse;"vle espinasse carlo n. 172 ;ingresso via 7448 num.000; isolato:154; accesso: accesso esterno; (z.d. 8)";vle;espinasse carlo;172;7390;8;solo somministrazione;somministrazione;al banco;"bar caffè e simili;bar caffè;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;pizzeria;trattoria";146.0;RISTORANTE;al banco;False
trattoria;bar trattoria isonzo;"via mantova n. 5 ; isolato:197; accesso: accesso esterno; (z.d. 5)";via;mantova;5;4217;5;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;bar caffè;ristorante, trattoria, osteria;trattoria";68.0;RISTORANTE;al tavolo;False
trattoria;bar trattoria la mousama;"via dell' aprica n. 10 ; isolato:105; accesso: accesso esterno; (z.d. 9)";via;dell' aprica;10;1223;9;solo somministrazione;somministrazione;al tavolo;"bar caffè;giochi legge 388/2000;trattoria;genere merceol.autorizz.sanit.";97.0;RISTORANTE;al tavolo;False
trattoria;bar trattoria morsenchio;"via bonfadini romualdo n. 91 ; isolato:110; accesso: accesso esterno; (z.d. 4)";via;bonfadini romualdo;91;3341;4;solo somministrazione;somministrazione;al tavolo;"bar caffè;genere merceol.autorizz.sanit.;trattoria;ristorante, trattoria, osteria";80.0;RISTORANTE;al tavolo;False
trattoria;bar trattoria orsa minore;"via tertulliano n. 32 ; isolato:180; accesso: accesso esterno; (z.d. 4)";via;tertulliano;32;4094;4;solo somministrazione;somministrazione;misto;"trattoria;genere merceol.autorizz.sanit.;bar caffè e simili;ristorante, trattoria, osteria;bar caffè";52.0;RISTORANTE;misto;False
trattoria;bar trattoria stella;"via mecenate n. 107 ; isolato:098; accesso: accesso esterno; (z.d. 4)";via;mecenate;107;3323;4;solo somministrazione;somministrazione;misto;"bar caffè;trattoria;genere merceol.autorizz.sanit.";75.0;RISTORANTE;misto;False
trattoria;bella milano;"via maiocchi achille n. 29 ; isolato:066; accesso: accesso esterno; (z.d. 3)";via;maiocchi achille;29;2162;3;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;pizzerie e simili;trattoria";58.0;RISTORANTE;al tavolo;False
trattoria;black friars;"cso di porta ticinese n. 16 ;cso di porta ticinese 016; isolato:220; accesso: accesso esterno; (z.d. 1)";cso;di porta ticinese;16;541;1;solo somministrazione;somministrazione;misto;"bar caffè e simili;genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;bar caffè;pizzerie e simili;trattoria;tavola fredda";192.0;RISTORANTE;misto;False
trattoria;blu;"cso garibaldi giuseppe n. 11 ; isolato:243; accesso: accesso esterno; (z.d. 1)";cso;garibaldi giuseppe;11;1010;1;solo somministrazione;somministrazione;al banco;"trattoria;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.";71.0;RISTORANTE;al banco;False
trattoria;blumarina;"via capecelatro alfonso n. 30 ; isolato:276; accesso: accesso esterno; (z.d. 7)";via;capecelatro alfonso;30;6575;7;solo somministrazione;somministrazione;al tavolo;"trattoria;pizzeria;genere merceol.autorizz.sanit.";117.0;RISTORANTE;al tavolo;False
trattoria;borgo antico ristorante;"via f.lli zoia n. 62 ; isolato:039; accesso: accesso esterno; (z.d. 7)";via;f.lli zoia;62;6306;7;solo somministrazione;somministrazione;al tavolo;"bar gastronomici e simili;pizzerie e simili;trattoria;ristorante, trattoria, osteria;pizzeria;bar caffè";77.0;RISTORANTE;al tavolo;False
trattoria;caffe  mokarabia;"via farini carlo n. 44 ; isolato:256; accesso: accesso esterno; (z.d. 9)";via;farini carlo;44;1114;9;solo somministrazione;somministrazione;misto;"ristorante, trattoria, osteria;bar caffè;giochi legge 388/2000;bar caffè e simili;genere merceol.autorizz.sanit.;trattoria";80.0;RISTORANTE;misto;False
trattoria;caffe  pedros;"via aldini antonio n. 20 ; isolato:097; accesso: accesso esterno; (z.d. 8)";via;aldini antonio;20;7461;8;somministrazione/minuto;minuto;al banco;"trattoria;bar caffè;giochi legge 388/2000;genere merceol.autorizz.sanit.;bar caffè e simili;ristorante, trattoria, osteria";106.0;RISTORANTE;al banco;False
trattoria;caffetteria norma;"via castaldi panfilo n. 25 ; isolato:129; accesso: accesso esterno; (z.d. 3)";via;castaldi panfilo;25;2119;3;solo somministrazione;somministrazione;misto;"bar caffè;genere merceol.autorizz.sanit.;trattoria";82.0;RISTORANTE;misto;False
trattoria;caladue;"via melloni macedonio n. 35 ; isolato:006; accesso: accesso esterno; (z.d. 4)";via;melloni macedonio;35;3085;4;solo somministrazione;somministrazione;al tavolo;"trattoria;bar caffè;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.";78.0;RISTORANTE;al tavolo;False
trattoria;cantina piemontese osteri;"via laghetto n. 11 ;via laghetto 011; isolato:321; accesso: accesso esterno; (z.d. 1)";via;laghetto;11;326;1;solo somministrazione;somministrazione;al tavolo;"bar caffè;trattoria";84.0;RISTORANTE;al tavolo;False
trattoria;carlsberg;"via solferino n. 56 con ingr. bs di porta nuova 11; isolato:007; accesso: accesso esterno; (z.d. 1)";via;solferino;56;1028;1;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;trattoria;ristorante, trattoria, osteria";528.0;RISTORANTE;al tavolo;True
trattoria;circolo familiare lavorat;"via terruggia giovanni num.023 ; isolato:068; accesso: accesso esterno; (z.d. 9)";via;terruggia giovanni;23;1533;9;solo somministrazione;somministrazione;al tavolo;"giochi legge 388/2000;bar caffè;bar caffè e simili;trattoria;ristorante, trattoria, osteria";197.0;RISTORANTE;al tavolo;False
trattoria;coop.circolo rinascimento;"via conte verde n. 17 ; isolato:058; accesso: accesso esterno; (z.d. 9)";via;conte verde;17;1505;9;solo somministrazione;somministrazione;misto;"ristorante, trattoria, osteria;bar caffè e simili;bar caffè;trattoria;genere merceol.autorizz.sanit.";158.0;RISTORANTE;misto;False
trattoria;cooperativa barona-satta;"via modica n. 8 ; isolato:045; accesso: accesso esterno; (z.d. 6)";via;modica;8;5306;6;solo somministrazione;somministrazione;self service;"genere merceol.autorizz.sanit.;bar caffè;trattoria;tav.calde,self service,fast f.;ristorante, trattoria, osteria;bar caffè e simili";358.0;RISTORANTE;self service;True
trattoria;coop.villapizzone;"via ajraghi cesare n. 10 ; isolato:256; accesso: accesso esterno; (z.d. 8)";via;ajraghi cesare;10;7276;8;solo somministrazione;somministrazione;misto;"trattoria;genere merceol.autorizz.sanit.;bar gastronomici e simili;bar caffè;ristorante, trattoria, osteria";249.0;RISTORANTE;misto;False
trattoria;corpo music.civico cooper;"via urbino n. 27 ; isolato:014; accesso: accesso esterno; (z.d. 9)";via;urbino;27;1638;9;solo somministrazione;somministrazione;al tavolo;"bar caffè;genere merceol.autorizz.sanit.;licenza giochi leciti/elettr..;ristorante";223.0;RISTORANTE;al tavolo;False
trattoria;crota piemunteisa;"via mora gian giacomo n. 9 ;via mora gian giacomo 009; isolato:220; accesso: accesso esterno; (z.d. 1)";via;mora gian giacomo;9;594;1;solo somministrazione;somministrazione;misto;"giochi legge 388/2000;trattoria;ristorante, trattoria, osteria;bar caffè";60.0;RISTORANTE;misto;False
trattoria;cuevo maya;"vle monte nero n. 19 ; isolato:133; accesso: accesso esterno; (z.d. 1)";vle;monte nero;19;3062;1;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;trattoria";57.0;RISTORANTE;al tavolo;False
trattoria;da pulcinella;"via solari andrea n. 12 ; isolato:018; accesso: accesso esterno; (z.d. 6)";via;solari andrea;12;5111;6;solo somministrazione;somministrazione;misto;"ristorante, trattoria, osteria;bar caffè e simili;genere merceol.autorizz.sanit.;trattoria;pizzerie e simili;pizzeria;bar caffè";132.0;RISTORANTE;misto;False
trattoria;euro bar;"vle jenner edoardo n. 71 ; isolato:097; accesso: accesso esterno; (z.d. 9)";vle;jenner edoardo;71;1230;9;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;bar caffè;giochi legge 388/2000;trattoria";37.0;RISTORANTE;misto;False
trattoria;free house;"via spaventa silvio n. 1 ; isolato:001; accesso: accesso esterno; (z.d. 5)";via;spaventa silvio;1;5255;5;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;bar caffè;ristorante, trattoria, osteria;trattoria;bar caffè e simili;giochi legge 388/2000";46.0;RISTORANTE;misto;False
trattoria;free time cafe;"via bianconi carlo n. 7 ; isolato:109; accesso: accesso esterno; (z.d. 5)";via;bianconi carlo;7;4264;5;somministrazione/minuto;somministrazione;al tavolo;"bar caffè;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;bar caffè e simili;trattoria";114.0;RISTORANTE;al tavolo;False
trattoria;gli amici;"via gulli tommaso n. 54 ; isolato:191; accesso: accesso esterno; (z.d. 7)";via;gulli tommaso;54;6634;7;solo somministrazione;somministrazione;misto;"trattoria;pizzeria;genere merceol.autorizz.sanit.;pizzerie e simili;ristorante, trattoria, osteria";16.0;RISTORANTE;misto;False
trattoria;gnocco fritto 2;"via paoli pasquale n. 2 ; isolato:071; accesso: accesso esterno; (z.d. 6)";via;paoli pasquale;2;5151;6;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;trattoria";140.0;RISTORANTE;al tavolo;False
trattoria;grand canyon;"vle certosa n. 292 ; isolato:141; accesso: accesso esterno; (z.d. 8)";vle;certosa;292;7174;8;solo somministrazione;somministrazione;al banco;"bar caffè;ristorante, trattoria, osteria;wine,birr.,pub enot.,caff.,the;ristorante;bar caffè e simili;genere merceol.autorizz.sanit.";201.0;RISTORANTE;al banco;False
trattoria;gurman s tavola calda;"via imbonati carlo n. 6 ; isolato:089; accesso: accesso esterno; (z.d. 9)";via;imbonati carlo;6;1311;9;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;bar caffè;bar caffè e simili;trattoria";62.0;RISTORANTE;al banco;False
trattoria;hong li;"vie della robbia luca n. 10 ; isolato:168; accesso: accesso esterno; (z.d. 8)";vie;della robbia luca;10;6349;8;solo somministrazione;somministrazione;al tavolo;"ristorante, trattoria, osteria;ristorante;genere merceol.autorizz.sanit.;bar caffè;bar caffè e simili";57.0;RISTORANTE;al tavolo;False
trattoria;i due pini;"via astesani alessandro n. 54 ; isolato:051; accesso: accesso esterno; (z.d. 9)";via;astesani alessandro;54;1558;9;solo somministrazione;somministrazione;al tavolo;"bar caffè e simili;genere merceol.autorizz.sanit.;pizzerie e simili;trattoria;pizzeria;ristorante, trattoria, osteria";92.0;RISTORANTE;al tavolo;False
trattoria;il carpaccio;"via palazzi lazzaro n. 19 ; isolato:128; accesso: accesso esterno; (z.d. 3)";via;palazzi lazzaro;19;2171;3;solo somministrazione;somministrazione;al tavolo;"genere merceol.autorizz.sanit.;trattoria;ristorante, trattoria, osteria";135.0;RISTORANTE;al tavolo;False
